Exporters	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Importer
Serbia	28643	55116	77891	101566	180127	112741	133912	161821	211537	224519	362745	497675	China
Lithuania	38113	42148	87607	89497	124786	157487	139708	163352	254510	331791	436794	487539	China
Cuba	574439	764609	904045	569203	504634	333015	330656	273747	395879	479985	491944	471941	China
Panama	28809	25287	42858	53026	43944	127495	315041	37549	61833	81823	443933	441986	China
Jordan	112257	164706	256722	297103	169875	263204	287490	211100	278941	214182	433197	425714	China
Chad	65367	495797	265319	220729	103500	108342	90692	104770	279556	93922	439827	420908	China
Tanzania, United Republic of	195968	406945	489897	379281	552548	435102	378719	316971	334201	393915	366339	409039	China
Malta	400005	569312	851729	884707	725238	591422	441124	399997	409726	349113	358582	387554	China
Solomon Islands	178105	287054	348807	377698	404521	473834	460958	376200	556734	631846	461733	355416	China
Ethiopia	214756	273970	292059	309366	315688	489954	380295	421157	357495	345313	343911	338419	China
Trinidad and Tobago	103311	108067	340138	139662	119502	100733	39252	174869	182294	385092	682025	333510	China
Sri Lanka	70149	102275	152888	161955	182564	248273	259235	272991	309058	340882	396576	317749	China
Senegal	41975	51160	68709	51356	39730	47019	111785	161561	149799	128509	300982	315240	China
Guyana	10747	17280	14528	26057	21129	40221	49373	28249	38383	43083	45986	304955	China
Dominican Republic	98100	130741	292447	409574	290011	273805	211766	130495	168298	181302	471556	296262	China
Bolivia, Plurinational State of	125494	189086	274535	324195	275774	492566	446775	318042	351538	331526	324116	293334	China
Eritrea	422	1054	871	1259	50934	321685	187285	170972	165307	314578	209892	289364	China
Estonia	79332	181908	205417	135750	199575	225498	234861	211443	260088	245474	299412	281389	China
Luxembourg	204684	257868	309228	262580	256661	303804	309532	305537	307522	312210	282320	276220	China
Greenland	44260	54548	47937	57448	72135	64522	90070	101198	133378	231912	273714	259975	China
Guatemala	23330	36059	23345	68508	173934	51398	203535	99280	110323	86539	193017	256894	China
Macedonia, North	24093	91756	154308	139606	107973	90585	136409	46065	86442	48374	148705	227255	China
Niger	48	171	2105	37163	15875	79123	141037	125814	99456	171113	223868	224699	China
Tunisia	107524	124900	219462	176976	176729	211920	184519	138711	196993	194965	208770	222658	China
Latvia	26001	39062	63436	68827	99158	146910	144400	132147	177083	212840	195651	200465	China
El Salvador	3472	7505	6377	7365	8988	10472	53907	45777	114364	164703	113268	171930	China
Mali	37049	70411	149595	331685	152468	95651	92978	98694	67802	88509	160644	168900	China
Togo	36373	61619	76599	84811	117944	166441	214942	105320	73167	145762	180432	164196	China
Sierra Leone	10541	10770	28003	502909	1452659	1678696	169780	236445	348479	177191	197455	158548	China
Kenya	29662	39208	59691	52408	52783	77039	98662	97101	166791	174200	181207	151002	China
Bahrain	211237	251912	325836	348345	305181	183964	111579	63635	123886	150437	195654	146056	China
Croatia	74856	50890	79531	74514	104266	100663	112094	161383	181791	212017	145387	138869	China
Madagascar	54822	105382	103389	114443	173906	118076	174754	159083	225586	214707	204557	138703	China
Iceland	33253	41320	75599	88961	75799	59757	65967	95159	110063	165756	142632	104588	China
Georgia	17868	41802	38105	33582	54456	53111	44099	52526	67632	53914	81093	97353	China
Liberia	3959	22483	41245	229945	164418	288449	181819	48522	28840	89245	112419	87987	China
Botswana	65287	53366	100668	119479	193858	213879	142933	62156	33262	14230	17130	87486	China
Albania	64320	147573	155368	142721	234841	189322	128655	129361	198078	107862	103783	79689	China
Burkina Faso	116175	121094	182408	232656	186891	123904	44210	14000	20429	95736	59957	77694	China
Bahamas	148	153	62901	116885	77	188	24365	51600	21005	12877	78589	72928	China
Bosnia and Herzegovina	13562	17597	29895	23301	20880	37242	53729	43542	57207	77401	77040	72682	China
Macao, China	246056	123550	162269	279177	387121	212408	185752	138923	102956	64078	66836	63136	China
Suriname	11909	13232	15900	23353	28089	52672	50841	29068	26221	53027	53513	61103	China
Moldova, Republic of	3258	6712	12829	18625	18586	24793	21514	24356	33916	38426	46726	60472	China
Benin	93782	125632	176475	261538	206007	266631	78132	55316	91574	48324	154356	58253	China
Montenegro	745	3064	12056	21458	16143	53560	24414	32617	66472	42190	43305	57368	China
Central African Republic	14645	25164	28138	48619	40649	29273	26521	31562	28105	54109	36202	57071	China
Afghanistan	1376	3680	4403	5187	9595	17372	11996	4489	3255	24109	29288	54512	China
Korea, Democratic People's Republic of	793026	1194537	2475460	2502531	2927497	2867931	2506690	2576499	1674235	213208	215519	48001	China
Djibouti	110	691	176	617	274	1685	898	132	12	204	20136	46249	China
Honduras	50340	92629	146714	251074	234871	161664	35763	27711	23063	48507	31780	45927	China
Tajikistan	184985	56048	72228	108829	88751	47699	50200	31243	46733	76804	84490	45268	China
Uganda	20103	26567	40249	42875	71925	111569	85576	37760	33388	47167	42278	39689	China
Rwanda	25698	38674	78129	71465	108450	91891	43362	33139	28850	39959	35063	38179	China
Kyrgyzstan	48450	72069	98121	89021	62350	55424	56787	71229	86992	54359	65961	34779	China
Jamaica	21562	3711	3971	30686	3811	37514	31174	15683	47411	76265	29255	31801	China
Lebanon	8977	27275	25950	20327	45579	25387	17378	17596	22930	49081	25994	31787	China
Gambia	6640	14998	54101	84713	77978	37932	55784	89705	99023	20062	71443	29740	China
Mauritius	6026	10099	9687	10713	12868	14200	15421	19662	21866	37457	38862	26350	China
Cyprus	15433	17207	26261	120612	52800	62577	49880	47720	53246	53968	57606	25224	China
Fiji	579	950	1217	22161	59376	52881	21448	17150	17493	25310	14403	23580	China
Nicaragua	3255	7119	24356	115850	91822	43369	34824	17827	28317	105735	45552	18952	China
Nepal	5290	11416	13865	29520	43250	47067	22988	19449	15580	21992	33518	16154	China
Barbados	2233	3808	6708	10443	12688	14802	18830	18629	24759	21274	20262	15163	China
Paraguay	27454	45615	44493	47842	60671	55625	41938	22321	32964	40251	16573	13909	China
Lesotho	1683	4529	7411	5418	13413	12081	12003	19639	24839	30104	31273	12262	China
Malawi	16990	31476	46036	47503	38421	34143	29580	26112	27321	27356	15708	12210	China
Somalia	550	1697	5796	3104	16340	29880	24677	11684	11798	16552	18638	7936	China
Vanuatu	1367	660	2394	2418	2244	6915	14054	4982	14238	15734	14655	7856	China
Marshall Islands	11870	5241	16542	23381	77754	43328	25008	20084	18269	33886	45069	7679	China
Burundi	969	3458	13748	10678	9307	4143	2816	2734	6928	11931	12945	7672	China
Micronesia, Federated States of	3964	2861	1615	10925	9983	5442	1344	6892	11656	21862	12575	7260	China
Maldives	128	48	136	186	418	380	193	231	566	6663	33716	5771	China
French Polynesia	2747	1099	5296	8038	4252	5726	2672	6589	6052	7036	6805	4154	China
Haiti	2883	5950	7368	9968	15010	14832	10677	6376	7555	7547	4488	3026	China
Cook Islands	258	1154	738	1018	1008	1703	1597	1203	5766	2502	1266	2644	China
Syrian Arab Republic	10017	40288	26155	10915	4705	2128	3479	3255	1315	869	1399	1331	China
Timor-Leste	23	250	1743	688	397	100	725	290	1562	3014	24561	1211	China
Cabo Verde	0	12	12	1	0	3	23	83	5	290	29	1210	China
Dominica	1160	2529	396	1146	109	566	654	935	708	119	477	661	China
Samoa	7626	23	27	23	11	195	984	799	526	508	443	575	China
Eswatini	15108	2504	344	100381	115072	46111	289	326	3252	27460	766	484	China
Belize	13	252	2902	7787	8385	7272	1786	933	412	256	149	438	China
Andorra	183	34	148	324	15	31	11	104	90	166	200	432	China
Saint Kitts and Nevis	43	304	476	134	276	424	338	440	699	1189	363	424	China
Oceania Nes	21	43	7	325	278	195	567	0	3	567	856	394	China
America not elsewhere specified	0	0	17	279	9	56	388	34	3069	32	364	338	China
British Virgin Islands	201	31	26	7	88	9	8	8	105	26	495	267	China
Tonga	59	6	47	0	25	35	23	24	583	119	130	238	China
Europe Othr. Nes	0	0	0	0	0	0	0	0	0	171	324	226	China
Kiribati	4	5	90	173	456	2902	4003	9493	404	103	1919	222	China
Comoros	2	24	7	6	8	9	22	13	37	28	32	117	China
Aruba	146	142	35	13243	157	184284	6	377	5	34	56	89	China
Sint Maarten (Dutch part)	0	0	0	0	0	0	0	0	0	1	7	84	China
Nauru	0	0	9	62	37	13	92	16	85	121	23	82	China
Saint Lucia	180	123	288	120	27	33	69	38	54	59	188	59	China
Turks and Caicos Islands	0	0	0	1	8	14	2	0	2	0	5	57	China
Sao Tome and Principe	4	10	2	43	2	0	33	18	0	50	14	47	China
Grenada	31	8	1	4	32	5	12	7	11	3	2	44	China
Seychelles	31	11	322	263	402	197	100	74	1471	25	68	38	China
Antigua and Barbuda	96	53	51	71	339	38	7	34	6	45	73	33	China
Bhutan	52	13	76	13	9	104	350	128	173	8	46	33	China
Africa not elsewhere specified	6	15	4609	206	45	11	682	15	899	27	9	32	China
Curaçao	0	0	199	147	1461	26	296	96	49	141	13	18	China
Cayman Islands	7	316	90	123	264	1	1	17	3	121	82	13	China
Tuvalu	8	0	0	0	0	0	994	26	7	9	26	12	China
Palestine, State of	747	363	1041	338	186	86	443	309	117	444	140	9	China
Saint Vincent and the Grenadines	104	22	24	2	0	0	49	62	63	233	1	9	China
Palau	0	32	5	28	14	62	5	38	0	120	59	7	China
Norfolk Island	0	7	0	0	0	0	0	3	1	11	0	6	China
Guinea-Bissau	1617	3863	4113	6633	16828	49956	17812	161	402	7639	8402	5	China
Bermuda	4	0	3	0	0	11	2	73	7	84	8	4	China
Montserrat	133	24	85	39	22	9	5	9	53	3	3	2	China
Gibraltar	0	2	23	3	6010	1	333	1	38	2	1	1	China
Bonaire, Sint Eustatius and Saba	0	0	5	1	0	47145	0	0	0	0	0	1	China
St. Pierre and Miquelon	1	69	0	0	4	0	0	0	32	0	2	1	China
Wallis and Futuna Islands	0	0	0	0	13	13	0	0	0	4	0	1	China
Faroe Islands	6684	13938	27130	49532	74571	105027	0	0	0	0	0	0	China
LAIA not elsewhere specified	0	0	0	3	776	1060	0	0	0	0	0	0	China
Western Sahara	0	0	18	0	7	7	0	0	0	4	0	0	China
Mayotte	1	4	0	112	1	0	0	0	0	0	0	0	China
Netherlands Antilles	1	25	0	0	0	0	0	0	0	0	0	0	China
Sudan (before 2012)	4684822	6671907	9541534	0	0	0	0	0	0	0	0	0	China
World	928891172	1060672352	1261588484	1161247824	1187301533	1214915242	1053388444	1056664804	1164586085	1286008402	1236217435	1171580759	Germany
China	79318156	103800346	112601120	102393093	100312728	107580164	101946561	104014508	115183864	125101066	123165529	133703570	Germany
Netherlands	70206793	81234573	102777849	99542585	106236197	107890328	88068305	86331047	94549488	104529826	97396130	89110431	Germany
United States of America	55787029	61153544	69261437	67205165	66571065	67526624	66428354	64142420	69868049	76179360	79839832	77279653	Germany
Poland	30865755	36590217	44940677	42449937	47804573	52677854	49567310	51435745	57121975	65020284	64435078	66872661	Germany
France	74210528	80236673	91466126	81711208	84194176	88574293	73935687	72652093	72570697	76813927	73968958	64443010	Germany
Italy	51437324	55469075	66246065	61328020	61971043	64128499	54036205	57215601	62503877	71146737	63901631	61713371	Germany
Switzerland	40386121	44135358	52541030	49639092	52077146	53867785	47127224	49120554	52102300	54821289	51847920	52424430	Germany
Czech Republic	33414493	38024327	45478683	41760128	43831827	48840447	43447447	46731625	51582891	56147443	53313659	49858365	Germany
Austria	37923153	43327980	50889534	46428048	47878974	47680377	40965636	42275636	45511686	49489237	46459920	44301309	Germany
United Kingdom	44453586	49762876	60632048	52930006	51782588	50626648	41899255	39082685	41052569	43374270	42483543	39282145	Germany
Belgium	38710830	43573067	51403026	46632378	49629350	51025159	39483220	40066764	44664391	53232953	45564783	39215888	Germany
Spain	26416071	29085288	31301047	29837449	31389321	32956432	29036272	30822670	35430483	38313611	37100139	35779212	Germany
Hungary	19182679	21714193	25341993	23736708	25855565	29184595	26365011	27679122	29802977	32331752	31982877	31414890	Germany
Area Nes	823716	0	0	349	0	0	35798023	26109818	29197782	34607375	35504547	28713862	Germany
Japan	27256699	31391416	34885269	29961882	27492037	26500610	22377628	24267202	25896658	28016813	26756331	24313041	Germany
Ireland	19251379	17961192	17166289	12974604	11660523	11789826	11998963	13085647	13213641	15991247	20590270	24134494	Germany
Turkey	11637227	13291164	16433879	15526526	16350055	17880771	16113896	17107232	18367627	19374084	17764158	17559879	Germany
Russian Federation	23289316	31119378	41696767	41244185	39698776	37042740	22930858	20598602	25090016	29964134	24863110	17439146	Germany
Slovakia	10199291	12155135	14928333	15441972	16270576	17018365	15033565	15824653	16535259	19524145	19756412	17318358	Germany
Sweden	14160295	16985354	19647383	17708038	18474036	18640529	15477649	15836404	17527565	18665337	17203238	16821473	Germany
Romania	7895539	8564362	11639143	11079611	12178935	13575175	11903352	13846099	16882192	18896141	17686738	15442400	Germany
Korea, Republic of	11051006	15041553	13545687	10969600	10753920	10661567	8524684	8565734	12828572	14316894	13760781	12894923	Germany
Denmark	14233087	13781477	16705629	14395137	14887657	15076848	12365865	12205392	13159911	14784872	13169187	12660363	Germany
Viet Nam	3249832	3956805	5643214	6649829	7541006	8092434	8924402	9745278	10887622	11552172	10884226	11712633	Germany
Taipei, Chinese	6628428	8712340	9619113	8449791	8654666	9496373	9059867	9486352	10712713	12031698	11330920	10911537	Germany
India	7173469	8394778	10656510	9153660	9392277	9597572	8415246	8474420	9571303	10553285	10524025	10168344	Germany
South Africa	5144424	6790003	8067558	5952418	5620478	5980961	6525245	6822957	8115012	9358822	10668196	9683095	Germany
Malaysia	5670888	7699343	8812075	7041779	7485324	8240697	7780276	8452930	9790671	10567926	9741045	9569039	Germany
Mexico	4477970	4923895	6097496	5609708	5243192	4942843	4956313	5695545	8510296	9265517	9734200	9002856	Germany
Finland	7388148	7989412	9151414	7934444	8038187	9667916	9745537	8889270	9373664	10239291	10128026	8663978	Germany
Portugal	4825032	5327870	6548531	6265843	6781728	6915295	6127349	6313687	7057139	7998023	8282476	7338254	Germany
Brazil	9952081	12470262	15527406	13505750	11723894	11937091	9332237	8814518	8772875	8848335	7876491	6967305	Germany
Bangladesh	2848877	3162905	4353179	4131706	4739682	5109834	5118758	5450674	6057318	6862576	6642811	6550026	Germany
Thailand	4260896	5200694	5835169	5411958	5794034	6279363	5605767	5947336	6760592	7221556	6697897	6440682	Germany
Slovenia	4090482	4847713	6175378	5890559	6092906	6404329	5748475	6088534	6693979	7447653	7034897	6390470	Germany
Canada	4445852	5389452	7079731	5496800	5483815	4819135	4369125	4514824	4845403	5552533	6335980	6294512	Germany
Norway	10469657	9855694	11494699	11785353	11886713	12711525	7986071	6454593	7605321	8682701	8398318	5649519	Germany
Singapore	4576401	6255277	6764077	6549998	6459574	6691703	6507801	5929744	7369859	7780537	6444294	5491717	Germany
Bulgaria	1816901	2180632	2904827	2863139	3621525	3440009	3215834	3545143	4389456	5097095	5194497	5253972	Germany
Indonesia	3841969	4842361	6005218	5210638	4833416	4939161	4376321	4258830	4446841	4496499	3980284	4040126	Germany
Philippines	2106392	3036915	2835270	2985412	3177905	3671584	3337557	3153143	4068973	4341362	4476824	3830470	Germany
Australia	2557150	2797392	3837867	3591863	2951685	2390343	2272171	2394646	3268539	3082806	3370650	3392097	Germany
Macedonia, North	497144	785524	1339707	1246954	1578513	2080716	2049563	2301316	2801060	3417504	3590145	3206958	Germany
Luxembourg	3675617	3553268	4096139	3505067	3937878	3994736	3537654	3409447	3607543	4014797	3619958	3159944	Germany
Ukraine	1738861	2167931	2668379	1869484	2093082	2195246	1862007	1981388	2541542	3124263	3209577	2882918	Germany
Kazakhstan	3121362	4852874	5954187	5024004	5933935	5805576	3036882	3137906	3929053	4286517	3521227	2670384	Germany
Serbia	836092	994467	1280748	1297357	1645124	1714948	1597541	1879531	2141260	2400178	2531069	2581305	Germany
Lithuania	1530865	1923097	2358895	2279663	2320984	2125975	1857309	1887391	2066608	2298025	2358082	2549604	Germany
Greece	2405235	2533033	2702744	2330750	2371952	2320229	1972157	2105824	2178853	2321073	2364446	2518354	Germany
Israel	1881511	2240744	2597490	2145287	2185098	2198442	1872022	1875703	2149657	2343284	2406077	2468484	Germany
Pakistan	930268	1139207	1584720	1269540	1416334	1697144	1583581	1670175	1881971	2007282	2015117	2118366	Germany
Tunisia	1726281	1853056	2121040	1846523	1986483	2155192	1831634	1811801	1996963	2104626	2117553	1957656	Germany
Croatia	929491	975900	1204137	1152346	1221649	1298847	1332091	1546952	1842457	2084222	2015442	1856306	Germany
Hong Kong, China	1720901	2165519	2369363	2048364	2054547	2044091	1919595	1722982	1468677	1727074	1490081	1825422	Germany
Nigeria	1640284	2667095	4841404	5701572	5492982	5305344	2183744	1515842	1809568	2803696	2513524	1809822	Germany
Cambodia	412683	484429	730266	880257	1145210	1295914	1369353	1503629	1750045	1985929	1910359	1771611	Germany
Morocco	624619	747569	963192	932713	1032003	1121923	1061586	1096581	1169811	1391191	1515492	1488138	Germany
Peru	1175206	1697796	1908622	1887944	1298740	1461417	1248837	1173790	1370911	1493561	1425332	1430509	Germany
Chile	2163027	2206226	2789674	2273801	2103742	2014819	1649810	1444730	1782280	1667899	1250154	1381556	Germany
Myanmar	81802	79108	84659	56463	73261	134619	219495	354024	629884	1012138	1168406	1269927	Germany
Egypt	1154703	1277845	2340541	1828613	1978528	2032570	1897369	1218995	1498766	1497746	1609382	1166600	Germany
Argentina	2058033	2381448	3170636	2549153	2235990	2153311	1694735	1660838	1439369	1544689	1210717	1071625	Germany
Latvia	542044	769613	915474	872010	843923	851605	716095	819133	973754	1082015	975717	1063335	Germany
Saudi Arabia	901519	861406	1273430	2231676	2240875	1475186	969704	690222	915845	1386573	1308560	1052212	Germany
Estonia	480435	555677	737060	630095	662927	702488	626160	707612	787903	974165	912360	912720	Germany
Bosnia and Herzegovina	427831	541829	695981	613650	695833	728879	653901	691749	818311	955287	879655	882927	Germany
Libya, State of	3929244	4111635	2769151	7123366	6216478	2290880	1335118	610039	2840230	4069908	4386707	849480	Germany
Azerbaijan	1653390	1713862	2050508	2021681	3255950	3176878	2421374	1783934	1124667	1699428	1514434	833614	Germany
Colombia	1121163	1285387	2210557	1797986	2011953	1942064	1590520	1403666	1377404	1102930	780686	831750	Germany
Sri Lanka	509015	545270	659049	626283	600740	650981	587013	639709	743255	855848	846766	826530	Germany
New Zealand	735774	746588	979762	813256	796485	868219	661902	735174	796803	880159	758077	814835	Germany
Côte d'Ivoire	1297845	1138335	1515429	1320665	1274537	1041450	1076044	1029719	910463	1158900	940995	759226	Germany
United Arab Emirates	657360	666597	1413640	1065828	1096879	1066835	974310	983475	1180903	1433001	1175246	748250	Germany
Algeria	910780	920379	2769397	2430170	2718916	3356943	1730505	1449910	1304549	760756	741554	713835	Germany
Costa Rica	483875	515434	556135	597456	625489	649157	497710	597719	592482	658240	675928	687349	Germany
Belarus	648971	608819	932765	992720	641138	688732	752783	503659	573976	703588	621811	604789	Germany
Ecuador	556875	531959	718256	682674	651525	704525	561120	587020	579357	596878	501157	496249	Germany
Iceland	655333	950985	1079394	787770	764407	635277	550233	478531	495261	571619	591960	480809	Germany
Iraq	117363	213041	501091	662810	591081	582023	497779	647139	1095011	1261060	738927	468150	Germany
Malta	443841	347022	580891	424502	641093	437122	352844	422608	402564	450575	445899	423555	Germany
Honduras	214730	247177	429189	486669	308699	379692	458334	440029	502591	408273	346164	394418	Germany
Ghana	150776	180597	227542	508794	441714	176538	301425	310583	245231	462957	327925	341868	Germany
Iran, Islamic Republic of	781345	1264999	1166653	478915	378479	314024	369181	346420	467787	520650	232283	314093	Germany
Moldova, Republic of	110572	119558	155646	123199	164986	186406	178419	181990	235119	287728	291221	308802	Germany
Chad	5223	90130	17852	4197	3534	4514	3526	4060	3048	1492	67392	278314	Germany
Dominican Republic	129322	155302	182778	190083	229256	244653	218433	204952	197503	209714	254676	270843	Germany
Qatar	101492	157611	116470	317946	306655	177021	187330	313733	390540	372316	325572	263093	Germany
Uruguay	338786	574786	616115	491052	504221	318294	293764	394745	315729	348027	346305	231135	Germany
Madagascar	87209	92461	115677	126368	151381	168637	181763	240517	261670	341662	213141	217659	Germany
Namibia	168603	177758	268048	135084	145472	211316	166620	132931	163957	169532	145594	194289	Germany
Kenya	144492	119821	169554	143594	152962	185360	180976	186257	177456	158488	155291	177789	Germany
Ethiopia	168480	223774	303596	259240	204600	233242	192265	196171	195404	180871	163775	177129	Germany
Bolivia, Plurinational State of	112977	101511	139294	109494	136058	142245	130771	157225	179916	183949	188839	176897	Germany
Papua New Guinea	210937	294572	488773	528146	326060	388369	316512	188028	222958	246292	183345	167299	Germany
Albania	48773	50053	86084	99663	110248	79892	80809	90035	113141	144982	162876	166314	Germany
Guatemala	94856	107174	143876	146028	117180	154503	130729	161560	151604	133001	144463	153485	Germany
Mozambique	100453	185997	179209	161354	205651	167110	166485	150516	274334	280944	298323	151320	Germany
Guinea	111281	87615	116657	132476	111616	122694	149243	105637	95911	115304	128238	147039	Germany
Bahrain	95589	76456	71924	47445	75140	73499	27446	35306	46366	80005	108754	143805	Germany
Mauritania	98929	123474	184748	181929	146452	152881	95814	79445	112628	111006	97475	134807	Germany
Cyprus	227729	330543	328287	169866	156251	122966	120231	161208	133714	127858	136407	133794	Germany
Cameroon	61900	108439	275811	95631	153353	51767	59371	80536	84292	106309	105197	129595	Germany
Panama	98647	98729	99993	48354	71401	71446	78092	44192	49362	41070	120908	124531	Germany
Lao People's Democratic Republic	57390	65350	87900	79944	98152	91114	82674	82573	89782	109329	120545	119597	Germany
Uganda	94551	105396	139329	121296	118197	94422	109207	99712	118902	118816	95186	103596	Germany
Liberia	366930	36856	26911	19214	60757	89881	18499	74003	488071	148519	76532	102952	Germany
Georgia	32807	78129	201787	243293	169999	129984	103136	99805	84393	86063	66760	90876	Germany
Nicaragua	25990	28527	43306	41484	32683	30267	57009	43572	74158	94828	83130	88639	Germany
Malawi	116814	131409	99436	99687	72759	118631	150153	110222	142759	135101	97176	88430	Germany
Zambia	29469	28230	56820	42749	40588	31793	28409	39582	61274	72418	87376	83412	Germany
Tanzania, United Republic of	108037	113053	224941	184777	167003	211991	185283	186184	132350	82323	91430	80280	Germany
Armenia	120459	157294	184956	126562	96648	141715	153271	126000	127506	170512	128555	77706	Germany
Lebanon	36802	40338	61570	61648	65985	59213	50457	58120	51842	50712	44838	58021	Germany
Congo, Democratic Republic of the	21862	23350	14757	43057	135352	112173	96788	138616	127145	212506	77758	52466	Germany
Guyana	9487	13511	11640	18163	13285	13416	11568	8817	11792	15626	11474	51651	Germany
Mauritius	56773	54767	49889	50049	48754	50576	53036	69546	72754	65177	62751	48695	Germany
Cuba	59332	66731	56918	62442	73045	60171	39616	50586	84079	66539	57809	48449	Germany
Gabon	274181	137163	83201	154534	85741	19330	25003	23825	19692	39149	29232	47594	Germany
Greenland	20315	18849	18221	18155	37034	27748	20760	21026	16634	12395	11396	47309	Germany
Paraguay	61684	230851	312094	380424	312896	196608	165976	102187	112139	66405	53048	45458	Germany
Jamaica	36257	53048	78570	24973	101261	57965	61209	113842	151862	136472	191387	44737	Germany
Trinidad and Tobago	86596	122039	186032	96508	155763	236078	107657	40904	122944	91777	93145	43466	Germany
El Salvador	104331	118046	220260	96971	84563	50609	53721	48303	64622	70431	44900	42187	Germany
Jordan	43954	27796	22057	22700	39404	23097	28406	27115	30888	32923	37521	41203	Germany
Oman	23863	23828	53032	67327	65501	88675	53368	43607	43743	54320	43388	40065	Germany
Uzbekistan	39898	48777	46074	38840	30791	49652	19892	26973	27036	32095	35447	35850	Germany
Venezuela, Bolivarian Republic of	1112895	944156	1046607	692840	424829	160184	154754	157860	291505	369759	295355	34289	Germany
Kuwait	125018	89110	131918	349404	492335	182352	67350	12457	55251	47592	86600	34223	Germany
Zimbabwe	37291	42444	56259	76403	66125	52408	40341	68820	67228	50318	47605	32325	Germany
Congo	47628	41668	236355	87894	39283	20533	20382	26676	46414	22702	16003	31777	Germany
Montenegro	5465	7493	23714	41990	47657	29339	21699	14491	15251	21619	21942	30927	Germany
Burkina Faso	6904	8315	13678	8837	14223	20108	19398	42128	60942	67166	67683	27451	Germany
Sierra Leone	11714	15297	18387	15571	11578	4158	12186	14653	23311	32374	41556	27084	Germany
Nepal	38126	41767	49788	40643	37758	37901	36986	32921	32848	32842	33018	26509	Germany
Maldives	4796	3762	11337	15432	14642	16182	25646	25142	21284	22938	28256	26487	Germany
Senegal	8942	8200	9497	8676	18527	21126	17227	17243	19441	26865	24962	21987	Germany
Kyrgyzstan	8143	8896	17713	19884	15957	15987	14323	17155	15716	16134	19726	21509	Germany
Fiji	2887	2556	2849	2918	2163	3259	3009	2275	2356	1463	1960	19867	Germany
Faroe Islands	19182	34012	26278	23686	31975	48630	19963	22680	20476	26671	23419	18821	Germany
Sudan	0	0	33422	25542	20049	22610	23340	18304	22948	17186	13923	18371	Germany
Syrian Arab Republic	1134208	1540704	1394991	102967	21875	11610	13912	17296	18618	17990	16862	18137	Germany
Rwanda	15908	14323	18212	15464	8667	30201	25681	15244	16314	27336	14133	18078	Germany
Equatorial Guinea	5043	5062	40956	95375	107995	85064	80691	96603	108663	87927	91783	17067	Germany
Afghanistan	5885	31085	15186	19609	16461	29784	7418	13315	10564	13578	21281	16964	Germany
Mongolia	15206	12000	18167	13422	16373	13481	14453	15172	9347	12460	19738	15866	Germany
Macao, China	53489	19268	40334	69647	39150	30408	45079	41997	71448	67654	38885	15858	Germany
Yemen	7433	5756	4587	8881	5368	6704	2606	2482	3856	2633	33845	14481	Germany
Gibraltar	1066	299	1583	462	1091	779	3298	788	73117	2607	11946	12084	Germany
Marshall Islands	165079	112120	34833	30	61	9	11316	3	17137	53596	14076	8927	Germany
Burundi	35177	23995	36731	27939	10199	2339	14848	13115	7894	11332	15710	7466	Germany
Barbados	7515	8434	4008	2008	2449	3107	2607	2686	1907	3492	7725	7412	Germany
Eswatini	2938	19178	21151	35268	10569	5282	1580	3158	4766	5476	6218	6246	Germany
Andorra	604	600	1350	467	1962	450	1567	2361	2912	14197	2134	6058	Germany
Comoros	1380	1593	2433	2429	4873	6597	4638	5087	7037	4902	8192	5736	Germany
Seychelles	8764	13965	5860	2493	2843	1349	1506	2901	3999	4307	2346	5347	Germany
Togo	157605	125363	183027	49460	23899	16476	11650	3682	3393	7200	4966	5185	Germany
Palestine, State of	549	235	291	599	698	1278	866	923	1091	1502	2808	4793	Germany
Tajikistan	2456	3400	2330	3753	5021	3674	2128	1447	1952	1845	2341	4215	Germany
Saint Kitts and Nevis	1184	2630	3913	2996	4267	4203	4281	4245	5613	6667	4677	3944	Germany
Falkland Islands (Malvinas)	887	1793	2900	3514	712	567	1059	3187	2667	4268	5766	3921	Germany
Mali	8364	4175	2994	4396	3624	4765	3455	5235	5447	9108	7242	3674	Germany
Lesotho	946	532	1884	766	2297	1983	1644	1913	2447	2494	15104	3396	Germany
Haiti	3621	13441	5502	4261	6133	3586	2849	2793	3581	3673	3986	2995	Germany
Somalia	272	437	705	493	673	725	988	1269	1305	1082	3102	2652	Germany
Bahamas	148826	344843	6184	14478	53370	7460	5060	7396	4437	1598	3254	2436	Germany
Brunei Darussalam	3599	1032	3490	4901	2458	7006	913	1066	798	1547	1079	1975	Germany
French Polynesia	5217	6444	6007	4465	3990	4643	3840	3221	3209	3330	2695	1909	Germany
Djibouti	222	439	644	499	16	6	109	281	366	359	427	1869	Germany
Belize	3015	476	653	3060	1452	1876	1484	3398	4833	3050	5597	1791	Germany
Botswana	20415	22990	2345	610	6436	1400	2922	2430	6060	3564	3349	1746	Germany
Angola	351275	301494	1192878	341124	623773	172888	84389	161998	50316	53639	2084	1706	Germany
Suriname	48103	57749	7631	15846	5415	25932	14458	12967	1681	992	1736	1652	Germany
Saint Helena	9	267	0	2	0	38	0	30	47	60	58	1649	Germany
Ship stores and bunkers	0	0	0	0	0	0	1648	42	1179	720	366	1468	Germany
